config,run_id,requested_run_id,model_family,source,comparison_scope,run_type,gpu,status,source_status,train_batch_size,eval_batch_size,gradient_accumulation_steps,effective_train_batch_size,batch_accum_profile,configured_max_epochs,final_epoch,validations_per_epoch,final_validation_index,final_validation_phase,checkpoint_label,early_stopping_disabled,swanlab_url,swanlab_run_dir,launch_id,elapsed_sec,wall_clock,oom,observed_peak_memory_used_mib,peak_memory_total_mib,gpu_name,gpu_compute_capability,dtype_policy,outer_model_dtype,hidden_states_dtype,kernel_input_dtype,actual_kernel_dtype,dtype_comparison_scope,fallback_from_profiles,failure_reason,log_path,gpu_memory_sample_path,manifest_path,source_analysis_dir,seed,data_seed,num_codebook_vectors,rank,dynamic_capacity,relative_to_gdn_h2_ev2,trainable_params,zoology_state_size_metric_seq1024,fox_remote_formula,fox_remote_read_topk,fox_gd_residual_write_topk,fox_gd_residual_builder,fox_gd_residual_pack_mode,fox_gd_residual_chunk_size,fox_gd_residual_mu_min_count,vq_score_mode,vq_weight_mode,vq_update_mode,vq_softmax_tau,vq_topk,validation_index,validation_phase,approx_epoch,raw_epoch_index,slice_group,slice,metric,value
cb256-r10-s126-d123,gd-r10-s126-d123-b64-ga4-fp32-noearly4ep,gd-r10-s126-d123-b64-ga4-fp32-noearly4ep,flash,20260519_gd_r10_gdn_official_b64_fp32,b64_ga4_fp32_official,official_b64_ga4_fp32,1,completed,completed,64,16,4,256,b64_ga4,4,4,2,8,epoch_end,epoch4_noearly_b64_ga4_fp32,True,https://swanlab.cn/@scu-mclab/flash_vqg_gd_residual_v1_mqar/runs/co6yx9eyqntt2zmz88ie7,/home/lyj/mnt/project/zoology/swanlog/run-20260519_221452-co6yx9eyqntt2zmz88ie7,flash-vqg-20260519-gd-r10-gdn-official-b64-fp32-flash-r10-s126-2026-05-19-22-14-47,19482.126880662516,05:24:42,False,6385,11264,NVIDIA GeForce RTX 2080 Ti,7.5,float32,float32,float32,float32,float32,float32_only,none,,/home/lyj/mnt/project/zoology/tmp/20260519-gd-r10-gdn-official-b64-fp32-logs/flash-r10-s126-gpu1.log,/home/lyj/mnt/project/zoology/tmp/20260519-gd-r10-gdn-official-b64-fp32-logs/flash-r10-s126-gpu1-memory.csv,/home/lyj/mnt/project/zoology/zoology/experiments/flash_vqg/generated/flash-vqg-20260519-gd-r10-gdn-official-b64-fp32-flash-r10-s126-2026-05-19-22-14-47/manifest.json,zoology/analysis/flash_vqg/results/flash-vqg-20260519-gd-r10-gdn-official-b64-fp32-flash-r10-s126-2026-05-19-22-14-47/gd-r10-s126-d123-b64-ga4-fp32-noearly4ep,126,123,256,10,327680,20x,1184198,1510912,gd_residual_v1,2,4,grouped_chunk_torch_ref,semivec_ref,64,0.1,codebook_dot,dense_softmax,grad,0.25,4,1,mid_epoch,0.5,0,mqar_case,512x128,valid/mqar_case/accuracy-512x128,0.0008125
cb256-r10-s126-d123,gd-r10-s126-d123-b64-ga4-fp32-noearly4ep,gd-r10-s126-d123-b64-ga4-fp32-noearly4ep,flash,20260519_gd_r10_gdn_official_b64_fp32,b64_ga4_fp32_official,official_b64_ga4_fp32,1,completed,completed,64,16,4,256,b64_ga4,4,4,2,8,epoch_end,epoch4_noearly_b64_ga4_fp32,True,https://swanlab.cn/@scu-mclab/flash_vqg_gd_residual_v1_mqar/runs/co6yx9eyqntt2zmz88ie7,/home/lyj/mnt/project/zoology/swanlog/run-20260519_221452-co6yx9eyqntt2zmz88ie7,flash-vqg-20260519-gd-r10-gdn-official-b64-fp32-flash-r10-s126-2026-05-19-22-14-47,19482.126880662516,05:24:42,False,6385,11264,NVIDIA GeForce RTX 2080 Ti,7.5,float32,float32,float32,float32,float32,float32_only,none,,/home/lyj/mnt/project/zoology/tmp/20260519-gd-r10-gdn-official-b64-fp32-logs/flash-r10-s126-gpu1.log,/home/lyj/mnt/project/zoology/tmp/20260519-gd-r10-gdn-official-b64-fp32-logs/flash-r10-s126-gpu1-memory.csv,/home/lyj/mnt/project/zoology/zoology/experiments/flash_vqg/generated/flash-vqg-20260519-gd-r10-gdn-official-b64-fp32-flash-r10-s126-2026-05-19-22-14-47/manifest.json,zoology/analysis/flash_vqg/results/flash-vqg-20260519-gd-r10-gdn-official-b64-fp32-flash-r10-s126-2026-05-19-22-14-47/gd-r10-s126-d123-b64-ga4-fp32-noearly4ep,126,123,256,10,327680,20x,1184198,1510912,gd_residual_v1,2,4,grouped_chunk_torch_ref,semivec_ref,64,0.1,codebook_dot,dense_softmax,grad,0.25,4,2,epoch_end,1.0,0,mqar_case,512x128,valid/mqar_case/accuracy-512x128,0.80553125
cb256-r10-s126-d123,gd-r10-s126-d123-b64-ga4-fp32-noearly4ep,gd-r10-s126-d123-b64-ga4-fp32-noearly4ep,flash,20260519_gd_r10_gdn_official_b64_fp32,b64_ga4_fp32_official,official_b64_ga4_fp32,1,completed,completed,64,16,4,256,b64_ga4,4,4,2,8,epoch_end,epoch4_noearly_b64_ga4_fp32,True,https://swanlab.cn/@scu-mclab/flash_vqg_gd_residual_v1_mqar/runs/co6yx9eyqntt2zmz88ie7,/home/lyj/mnt/project/zoology/swanlog/run-20260519_221452-co6yx9eyqntt2zmz88ie7,flash-vqg-20260519-gd-r10-gdn-official-b64-fp32-flash-r10-s126-2026-05-19-22-14-47,19482.126880662516,05:24:42,False,6385,11264,NVIDIA GeForce RTX 2080 Ti,7.5,float32,float32,float32,float32,float32,float32_only,none,,/home/lyj/mnt/project/zoology/tmp/20260519-gd-r10-gdn-official-b64-fp32-logs/flash-r10-s126-gpu1.log,/home/lyj/mnt/project/zoology/tmp/20260519-gd-r10-gdn-official-b64-fp32-logs/flash-r10-s126-gpu1-memory.csv,/home/lyj/mnt/project/zoology/zoology/experiments/flash_vqg/generated/flash-vqg-20260519-gd-r10-gdn-official-b64-fp32-flash-r10-s126-2026-05-19-22-14-47/manifest.json,zoology/analysis/flash_vqg/results/flash-vqg-20260519-gd-r10-gdn-official-b64-fp32-flash-r10-s126-2026-05-19-22-14-47/gd-r10-s126-d123-b64-ga4-fp32-noearly4ep,126,123,256,10,327680,20x,1184198,1510912,gd_residual_v1,2,4,grouped_chunk_torch_ref,semivec_ref,64,0.1,codebook_dot,dense_softmax,grad,0.25,4,3,mid_epoch,1.5,1,mqar_case,512x128,valid/mqar_case/accuracy-512x128,0.89175
cb256-r10-s126-d123,gd-r10-s126-d123-b64-ga4-fp32-noearly4ep,gd-r10-s126-d123-b64-ga4-fp32-noearly4ep,flash,20260519_gd_r10_gdn_official_b64_fp32,b64_ga4_fp32_official,official_b64_ga4_fp32,1,completed,completed,64,16,4,256,b64_ga4,4,4,2,8,epoch_end,epoch4_noearly_b64_ga4_fp32,True,https://swanlab.cn/@scu-mclab/flash_vqg_gd_residual_v1_mqar/runs/co6yx9eyqntt2zmz88ie7,/home/lyj/mnt/project/zoology/swanlog/run-20260519_221452-co6yx9eyqntt2zmz88ie7,flash-vqg-20260519-gd-r10-gdn-official-b64-fp32-flash-r10-s126-2026-05-19-22-14-47,19482.126880662516,05:24:42,False,6385,11264,NVIDIA GeForce RTX 2080 Ti,7.5,float32,float32,float32,float32,float32,float32_only,none,,/home/lyj/mnt/project/zoology/tmp/20260519-gd-r10-gdn-official-b64-fp32-logs/flash-r10-s126-gpu1.log,/home/lyj/mnt/project/zoology/tmp/20260519-gd-r10-gdn-official-b64-fp32-logs/flash-r10-s126-gpu1-memory.csv,/home/lyj/mnt/project/zoology/zoology/experiments/flash_vqg/generated/flash-vqg-20260519-gd-r10-gdn-official-b64-fp32-flash-r10-s126-2026-05-19-22-14-47/manifest.json,zoology/analysis/flash_vqg/results/flash-vqg-20260519-gd-r10-gdn-official-b64-fp32-flash-r10-s126-2026-05-19-22-14-47/gd-r10-s126-d123-b64-ga4-fp32-noearly4ep,126,123,256,10,327680,20x,1184198,1510912,gd_residual_v1,2,4,grouped_chunk_torch_ref,semivec_ref,64,0.1,codebook_dot,dense_softmax,grad,0.25,4,4,epoch_end,2.0,1,mqar_case,512x128,valid/mqar_case/accuracy-512x128,0.9504609375
cb256-r10-s126-d123,gd-r10-s126-d123-b64-ga4-fp32-noearly4ep,gd-r10-s126-d123-b64-ga4-fp32-noearly4ep,flash,20260519_gd_r10_gdn_official_b64_fp32,b64_ga4_fp32_official,official_b64_ga4_fp32,1,completed,completed,64,16,4,256,b64_ga4,4,4,2,8,epoch_end,epoch4_noearly_b64_ga4_fp32,True,https://swanlab.cn/@scu-mclab/flash_vqg_gd_residual_v1_mqar/runs/co6yx9eyqntt2zmz88ie7,/home/lyj/mnt/project/zoology/swanlog/run-20260519_221452-co6yx9eyqntt2zmz88ie7,flash-vqg-20260519-gd-r10-gdn-official-b64-fp32-flash-r10-s126-2026-05-19-22-14-47,19482.126880662516,05:24:42,False,6385,11264,NVIDIA GeForce RTX 2080 Ti,7.5,float32,float32,float32,float32,float32,float32_only,none,,/home/lyj/mnt/project/zoology/tmp/20260519-gd-r10-gdn-official-b64-fp32-logs/flash-r10-s126-gpu1.log,/home/lyj/mnt/project/zoology/tmp/20260519-gd-r10-gdn-official-b64-fp32-logs/flash-r10-s126-gpu1-memory.csv,/home/lyj/mnt/project/zoology/zoology/experiments/flash_vqg/generated/flash-vqg-20260519-gd-r10-gdn-official-b64-fp32-flash-r10-s126-2026-05-19-22-14-47/manifest.json,zoology/analysis/flash_vqg/results/flash-vqg-20260519-gd-r10-gdn-official-b64-fp32-flash-r10-s126-2026-05-19-22-14-47/gd-r10-s126-d123-b64-ga4-fp32-noearly4ep,126,123,256,10,327680,20x,1184198,1510912,gd_residual_v1,2,4,grouped_chunk_torch_ref,semivec_ref,64,0.1,codebook_dot,dense_softmax,grad,0.25,4,5,mid_epoch,2.5,2,mqar_case,512x128,valid/mqar_case/accuracy-512x128,0.9650859375
cb256-r10-s126-d123,gd-r10-s126-d123-b64-ga4-fp32-noearly4ep,gd-r10-s126-d123-b64-ga4-fp32-noearly4ep,flash,20260519_gd_r10_gdn_official_b64_fp32,b64_ga4_fp32_official,official_b64_ga4_fp32,1,completed,completed,64,16,4,256,b64_ga4,4,4,2,8,epoch_end,epoch4_noearly_b64_ga4_fp32,True,https://swanlab.cn/@scu-mclab/flash_vqg_gd_residual_v1_mqar/runs/co6yx9eyqntt2zmz88ie7,/home/lyj/mnt/project/zoology/swanlog/run-20260519_221452-co6yx9eyqntt2zmz88ie7,flash-vqg-20260519-gd-r10-gdn-official-b64-fp32-flash-r10-s126-2026-05-19-22-14-47,19482.126880662516,05:24:42,False,6385,11264,NVIDIA GeForce RTX 2080 Ti,7.5,float32,float32,float32,float32,float32,float32_only,none,,/home/lyj/mnt/project/zoology/tmp/20260519-gd-r10-gdn-official-b64-fp32-logs/flash-r10-s126-gpu1.log,/home/lyj/mnt/project/zoology/tmp/20260519-gd-r10-gdn-official-b64-fp32-logs/flash-r10-s126-gpu1-memory.csv,/home/lyj/mnt/project/zoology/zoology/experiments/flash_vqg/generated/flash-vqg-20260519-gd-r10-gdn-official-b64-fp32-flash-r10-s126-2026-05-19-22-14-47/manifest.json,zoology/analysis/flash_vqg/results/flash-vqg-20260519-gd-r10-gdn-official-b64-fp32-flash-r10-s126-2026-05-19-22-14-47/gd-r10-s126-d123-b64-ga4-fp32-noearly4ep,126,123,256,10,327680,20x,1184198,1510912,gd_residual_v1,2,4,grouped_chunk_torch_ref,semivec_ref,64,0.1,codebook_dot,dense_softmax,grad,0.25,4,6,epoch_end,3.0,2,mqar_case,512x128,valid/mqar_case/accuracy-512x128,0.9680390625
cb256-r10-s126-d123,gd-r10-s126-d123-b64-ga4-fp32-noearly4ep,gd-r10-s126-d123-b64-ga4-fp32-noearly4ep,flash,20260519_gd_r10_gdn_official_b64_fp32,b64_ga4_fp32_official,official_b64_ga4_fp32,1,completed,completed,64,16,4,256,b64_ga4,4,4,2,8,epoch_end,epoch4_noearly_b64_ga4_fp32,True,https://swanlab.cn/@scu-mclab/flash_vqg_gd_residual_v1_mqar/runs/co6yx9eyqntt2zmz88ie7,/home/lyj/mnt/project/zoology/swanlog/run-20260519_221452-co6yx9eyqntt2zmz88ie7,flash-vqg-20260519-gd-r10-gdn-official-b64-fp32-flash-r10-s126-2026-05-19-22-14-47,19482.126880662516,05:24:42,False,6385,11264,NVIDIA GeForce RTX 2080 Ti,7.5,float32,float32,float32,float32,float32,float32_only,none,,/home/lyj/mnt/project/zoology/tmp/20260519-gd-r10-gdn-official-b64-fp32-logs/flash-r10-s126-gpu1.log,/home/lyj/mnt/project/zoology/tmp/20260519-gd-r10-gdn-official-b64-fp32-logs/flash-r10-s126-gpu1-memory.csv,/home/lyj/mnt/project/zoology/zoology/experiments/flash_vqg/generated/flash-vqg-20260519-gd-r10-gdn-official-b64-fp32-flash-r10-s126-2026-05-19-22-14-47/manifest.json,zoology/analysis/flash_vqg/results/flash-vqg-20260519-gd-r10-gdn-official-b64-fp32-flash-r10-s126-2026-05-19-22-14-47/gd-r10-s126-d123-b64-ga4-fp32-noearly4ep,126,123,256,10,327680,20x,1184198,1510912,gd_residual_v1,2,4,grouped_chunk_torch_ref,semivec_ref,64,0.1,codebook_dot,dense_softmax,grad,0.25,4,7,mid_epoch,3.5,3,mqar_case,512x128,valid/mqar_case/accuracy-512x128,0.9735
cb256-r10-s126-d123,gd-r10-s126-d123-b64-ga4-fp32-noearly4ep,gd-r10-s126-d123-b64-ga4-fp32-noearly4ep,flash,20260519_gd_r10_gdn_official_b64_fp32,b64_ga4_fp32_official,official_b64_ga4_fp32,1,completed,completed,64,16,4,256,b64_ga4,4,4,2,8,epoch_end,epoch4_noearly_b64_ga4_fp32,True,https://swanlab.cn/@scu-mclab/flash_vqg_gd_residual_v1_mqar/runs/co6yx9eyqntt2zmz88ie7,/home/lyj/mnt/project/zoology/swanlog/run-20260519_221452-co6yx9eyqntt2zmz88ie7,flash-vqg-20260519-gd-r10-gdn-official-b64-fp32-flash-r10-s126-2026-05-19-22-14-47,19482.126880662516,05:24:42,False,6385,11264,NVIDIA GeForce RTX 2080 Ti,7.5,float32,float32,float32,float32,float32,float32_only,none,,/home/lyj/mnt/project/zoology/tmp/20260519-gd-r10-gdn-official-b64-fp32-logs/flash-r10-s126-gpu1.log,/home/lyj/mnt/project/zoology/tmp/20260519-gd-r10-gdn-official-b64-fp32-logs/flash-r10-s126-gpu1-memory.csv,/home/lyj/mnt/project/zoology/zoology/experiments/flash_vqg/generated/flash-vqg-20260519-gd-r10-gdn-official-b64-fp32-flash-r10-s126-2026-05-19-22-14-47/manifest.json,zoology/analysis/flash_vqg/results/flash-vqg-20260519-gd-r10-gdn-official-b64-fp32-flash-r10-s126-2026-05-19-22-14-47/gd-r10-s126-d123-b64-ga4-fp32-noearly4ep,126,123,256,10,327680,20x,1184198,1510912,gd_residual_v1,2,4,grouped_chunk_torch_ref,semivec_ref,64,0.1,codebook_dot,dense_softmax,grad,0.25,4,8,epoch_end,4.0,3,mqar_case,512x128,valid/mqar_case/accuracy-512x128,0.9753203125
cb256-r10-s126-d123,gd-r10-s126-d123-b64-ga4-fp32-noearly4ep,gd-r10-s126-d123-b64-ga4-fp32-noearly4ep,flash,20260519_gd_r10_gdn_official_b64_fp32,b64_ga4_fp32_official,official_b64_ga4_fp32,1,completed,completed,64,16,4,256,b64_ga4,4,4,2,8,epoch_end,epoch4_noearly_b64_ga4_fp32,True,https://swanlab.cn/@scu-mclab/flash_vqg_gd_residual_v1_mqar/runs/co6yx9eyqntt2zmz88ie7,/home/lyj/mnt/project/zoology/swanlog/run-20260519_221452-co6yx9eyqntt2zmz88ie7,flash-vqg-20260519-gd-r10-gdn-official-b64-fp32-flash-r10-s126-2026-05-19-22-14-47,19482.126880662516,05:24:42,False,6385,11264,NVIDIA GeForce RTX 2080 Ti,7.5,float32,float32,float32,float32,float32,float32_only,none,,/home/lyj/mnt/project/zoology/tmp/20260519-gd-r10-gdn-official-b64-fp32-logs/flash-r10-s126-gpu1.log,/home/lyj/mnt/project/zoology/tmp/20260519-gd-r10-gdn-official-b64-fp32-logs/flash-r10-s126-gpu1-memory.csv,/home/lyj/mnt/project/zoology/zoology/experiments/flash_vqg/generated/flash-vqg-20260519-gd-r10-gdn-official-b64-fp32-flash-r10-s126-2026-05-19-22-14-47/manifest.json,zoology/analysis/flash_vqg/results/flash-vqg-20260519-gd-r10-gdn-official-b64-fp32-flash-r10-s126-2026-05-19-22-14-47/gd-r10-s126-d123-b64-ga4-fp32-noearly4ep,126,123,256,10,327680,20x,1184198,1510912,gd_residual_v1,2,4,grouped_chunk_torch_ref,semivec_ref,64,0.1,codebook_dot,dense_softmax,grad,0.25,4,1,mid_epoch,0.5,0,mqar_case,512x64,valid/mqar_case/accuracy-512x64,0.001328125
cb256-r10-s126-d123,gd-r10-s126-d123-b64-ga4-fp32-noearly4ep,gd-r10-s126-d123-b64-ga4-fp32-noearly4ep,flash,20260519_gd_r10_gdn_official_b64_fp32,b64_ga4_fp32_official,official_b64_ga4_fp32,1,completed,completed,64,16,4,256,b64_ga4,4,4,2,8,epoch_end,epoch4_noearly_b64_ga4_fp32,True,https://swanlab.cn/@scu-mclab/flash_vqg_gd_residual_v1_mqar/runs/co6yx9eyqntt2zmz88ie7,/home/lyj/mnt/project/zoology/swanlog/run-20260519_221452-co6yx9eyqntt2zmz88ie7,flash-vqg-20260519-gd-r10-gdn-official-b64-fp32-flash-r10-s126-2026-05-19-22-14-47,19482.126880662516,05:24:42,False,6385,11264,NVIDIA GeForce RTX 2080 Ti,7.5,float32,float32,float32,float32,float32,float32_only,none,,/home/lyj/mnt/project/zoology/tmp/20260519-gd-r10-gdn-official-b64-fp32-logs/flash-r10-s126-gpu1.log,/home/lyj/mnt/project/zoology/tmp/20260519-gd-r10-gdn-official-b64-fp32-logs/flash-r10-s126-gpu1-memory.csv,/home/lyj/mnt/project/zoology/zoology/experiments/flash_vqg/generated/flash-vqg-20260519-gd-r10-gdn-official-b64-fp32-flash-r10-s126-2026-05-19-22-14-47/manifest.json,zoology/analysis/flash_vqg/results/flash-vqg-20260519-gd-r10-gdn-official-b64-fp32-flash-r10-s126-2026-05-19-22-14-47/gd-r10-s126-d123-b64-ga4-fp32-noearly4ep,126,123,256,10,327680,20x,1184198,1510912,gd_residual_v1,2,4,grouped_chunk_torch_ref,semivec_ref,64,0.1,codebook_dot,dense_softmax,grad,0.25,4,2,epoch_end,1.0,0,mqar_case,512x64,valid/mqar_case/accuracy-512x64,0.936953125
cb256-r10-s126-d123,gd-r10-s126-d123-b64-ga4-fp32-noearly4ep,gd-r10-s126-d123-b64-ga4-fp32-noearly4ep,flash,20260519_gd_r10_gdn_official_b64_fp32,b64_ga4_fp32_official,official_b64_ga4_fp32,1,completed,completed,64,16,4,256,b64_ga4,4,4,2,8,epoch_end,epoch4_noearly_b64_ga4_fp32,True,https://swanlab.cn/@scu-mclab/flash_vqg_gd_residual_v1_mqar/runs/co6yx9eyqntt2zmz88ie7,/home/lyj/mnt/project/zoology/swanlog/run-20260519_221452-co6yx9eyqntt2zmz88ie7,flash-vqg-20260519-gd-r10-gdn-official-b64-fp32-flash-r10-s126-2026-05-19-22-14-47,19482.126880662516,05:24:42,False,6385,11264,NVIDIA GeForce RTX 2080 Ti,7.5,float32,float32,float32,float32,float32,float32_only,none,,/home/lyj/mnt/project/zoology/tmp/20260519-gd-r10-gdn-official-b64-fp32-logs/flash-r10-s126-gpu1.log,/home/lyj/mnt/project/zoology/tmp/20260519-gd-r10-gdn-official-b64-fp32-logs/flash-r10-s126-gpu1-memory.csv,/home/lyj/mnt/project/zoology/zoology/experiments/flash_vqg/generated/flash-vqg-20260519-gd-r10-gdn-official-b64-fp32-flash-r10-s126-2026-05-19-22-14-47/manifest.json,zoology/analysis/flash_vqg/results/flash-vqg-20260519-gd-r10-gdn-official-b64-fp32-flash-r10-s126-2026-05-19-22-14-47/gd-r10-s126-d123-b64-ga4-fp32-noearly4ep,126,123,256,10,327680,20x,1184198,1510912,gd_residual_v1,2,4,grouped_chunk_torch_ref,semivec_ref,64,0.1,codebook_dot,dense_softmax,grad,0.25,4,3,mid_epoch,1.5,1,mqar_case,512x64,valid/mqar_case/accuracy-512x64,0.970921875
cb256-r10-s126-d123,gd-r10-s126-d123-b64-ga4-fp32-noearly4ep,gd-r10-s126-d123-b64-ga4-fp32-noearly4ep,flash,20260519_gd_r10_gdn_official_b64_fp32,b64_ga4_fp32_official,official_b64_ga4_fp32,1,completed,completed,64,16,4,256,b64_ga4,4,4,2,8,epoch_end,epoch4_noearly_b64_ga4_fp32,True,https://swanlab.cn/@scu-mclab/flash_vqg_gd_residual_v1_mqar/runs/co6yx9eyqntt2zmz88ie7,/home/lyj/mnt/project/zoology/swanlog/run-20260519_221452-co6yx9eyqntt2zmz88ie7,flash-vqg-20260519-gd-r10-gdn-official-b64-fp32-flash-r10-s126-2026-05-19-22-14-47,19482.126880662516,05:24:42,False,6385,11264,NVIDIA GeForce RTX 2080 Ti,7.5,float32,float32,float32,float32,float32,float32_only,none,,/home/lyj/mnt/project/zoology/tmp/20260519-gd-r10-gdn-official-b64-fp32-logs/flash-r10-s126-gpu1.log,/home/lyj/mnt/project/zoology/tmp/20260519-gd-r10-gdn-official-b64-fp32-logs/flash-r10-s126-gpu1-memory.csv,/home/lyj/mnt/project/zoology/zoology/experiments/flash_vqg/generated/flash-vqg-20260519-gd-r10-gdn-official-b64-fp32-flash-r10-s126-2026-05-19-22-14-47/manifest.json,zoology/analysis/flash_vqg/results/flash-vqg-20260519-gd-r10-gdn-official-b64-fp32-flash-r10-s126-2026-05-19-22-14-47/gd-r10-s126-d123-b64-ga4-fp32-noearly4ep,126,123,256,10,327680,20x,1184198,1510912,gd_residual_v1,2,4,grouped_chunk_torch_ref,semivec_ref,64,0.1,codebook_dot,dense_softmax,grad,0.25,4,4,epoch_end,2.0,1,mqar_case,512x64,valid/mqar_case/accuracy-512x64,0.9844375
cb256-r10-s126-d123,gd-r10-s126-d123-b64-ga4-fp32-noearly4ep,gd-r10-s126-d123-b64-ga4-fp32-noearly4ep,flash,20260519_gd_r10_gdn_official_b64_fp32,b64_ga4_fp32_official,official_b64_ga4_fp32,1,completed,completed,64,16,4,256,b64_ga4,4,4,2,8,epoch_end,epoch4_noearly_b64_ga4_fp32,True,https://swanlab.cn/@scu-mclab/flash_vqg_gd_residual_v1_mqar/runs/co6yx9eyqntt2zmz88ie7,/home/lyj/mnt/project/zoology/swanlog/run-20260519_221452-co6yx9eyqntt2zmz88ie7,flash-vqg-20260519-gd-r10-gdn-official-b64-fp32-flash-r10-s126-2026-05-19-22-14-47,19482.126880662516,05:24:42,False,6385,11264,NVIDIA GeForce RTX 2080 Ti,7.5,float32,float32,float32,float32,float32,float32_only,none,,/home/lyj/mnt/project/zoology/tmp/20260519-gd-r10-gdn-official-b64-fp32-logs/flash-r10-s126-gpu1.log,/home/lyj/mnt/project/zoology/tmp/20260519-gd-r10-gdn-official-b64-fp32-logs/flash-r10-s126-gpu1-memory.csv,/home/lyj/mnt/project/zoology/zoology/experiments/flash_vqg/generated/flash-vqg-20260519-gd-r10-gdn-official-b64-fp32-flash-r10-s126-2026-05-19-22-14-47/manifest.json,zoology/analysis/flash_vqg/results/flash-vqg-20260519-gd-r10-gdn-official-b64-fp32-flash-r10-s126-2026-05-19-22-14-47/gd-r10-s126-d123-b64-ga4-fp32-noearly4ep,126,123,256,10,327680,20x,1184198,1510912,gd_residual_v1,2,4,grouped_chunk_torch_ref,semivec_ref,64,0.1,codebook_dot,dense_softmax,grad,0.25,4,5,mid_epoch,2.5,2,mqar_case,512x64,valid/mqar_case/accuracy-512x64,0.989359375
cb256-r10-s126-d123,gd-r10-s126-d123-b64-ga4-fp32-noearly4ep,gd-r10-s126-d123-b64-ga4-fp32-noearly4ep,flash,20260519_gd_r10_gdn_official_b64_fp32,b64_ga4_fp32_official,official_b64_ga4_fp32,1,completed,completed,64,16,4,256,b64_ga4,4,4,2,8,epoch_end,epoch4_noearly_b64_ga4_fp32,True,https://swanlab.cn/@scu-mclab/flash_vqg_gd_residual_v1_mqar/runs/co6yx9eyqntt2zmz88ie7,/home/lyj/mnt/project/zoology/swanlog/run-20260519_221452-co6yx9eyqntt2zmz88ie7,flash-vqg-20260519-gd-r10-gdn-official-b64-fp32-flash-r10-s126-2026-05-19-22-14-47,19482.126880662516,05:24:42,False,6385,11264,NVIDIA GeForce RTX 2080 Ti,7.5,float32,float32,float32,float32,float32,float32_only,none,,/home/lyj/mnt/project/zoology/tmp/20260519-gd-r10-gdn-official-b64-fp32-logs/flash-r10-s126-gpu1.log,/home/lyj/mnt/project/zoology/tmp/20260519-gd-r10-gdn-official-b64-fp32-logs/flash-r10-s126-gpu1-memory.csv,/home/lyj/mnt/project/zoology/zoology/experiments/flash_vqg/generated/flash-vqg-20260519-gd-r10-gdn-official-b64-fp32-flash-r10-s126-2026-05-19-22-14-47/manifest.json,zoology/analysis/flash_vqg/results/flash-vqg-20260519-gd-r10-gdn-official-b64-fp32-flash-r10-s126-2026-05-19-22-14-47/gd-r10-s126-d123-b64-ga4-fp32-noearly4ep,126,123,256,10,327680,20x,1184198,1510912,gd_residual_v1,2,4,grouped_chunk_torch_ref,semivec_ref,64,0.1,codebook_dot,dense_softmax,grad,0.25,4,6,epoch_end,3.0,2,mqar_case,512x64,valid/mqar_case/accuracy-512x64,0.987703125
cb256-r10-s126-d123,gd-r10-s126-d123-b64-ga4-fp32-noearly4ep,gd-r10-s126-d123-b64-ga4-fp32-noearly4ep,flash,20260519_gd_r10_gdn_official_b64_fp32,b64_ga4_fp32_official,official_b64_ga4_fp32,1,completed,completed,64,16,4,256,b64_ga4,4,4,2,8,epoch_end,epoch4_noearly_b64_ga4_fp32,True,https://swanlab.cn/@scu-mclab/flash_vqg_gd_residual_v1_mqar/runs/co6yx9eyqntt2zmz88ie7,/home/lyj/mnt/project/zoology/swanlog/run-20260519_221452-co6yx9eyqntt2zmz88ie7,flash-vqg-20260519-gd-r10-gdn-official-b64-fp32-flash-r10-s126-2026-05-19-22-14-47,19482.126880662516,05:24:42,False,6385,11264,NVIDIA GeForce RTX 2080 Ti,7.5,float32,float32,float32,float32,float32,float32_only,none,,/home/lyj/mnt/project/zoology/tmp/20260519-gd-r10-gdn-official-b64-fp32-logs/flash-r10-s126-gpu1.log,/home/lyj/mnt/project/zoology/tmp/20260519-gd-r10-gdn-official-b64-fp32-logs/flash-r10-s126-gpu1-memory.csv,/home/lyj/mnt/project/zoology/zoology/experiments/flash_vqg/generated/flash-vqg-20260519-gd-r10-gdn-official-b64-fp32-flash-r10-s126-2026-05-19-22-14-47/manifest.json,zoology/analysis/flash_vqg/results/flash-vqg-20260519-gd-r10-gdn-official-b64-fp32-flash-r10-s126-2026-05-19-22-14-47/gd-r10-s126-d123-b64-ga4-fp32-noearly4ep,126,123,256,10,327680,20x,1184198,1510912,gd_residual_v1,2,4,grouped_chunk_torch_ref,semivec_ref,64,0.1,codebook_dot,dense_softmax,grad,0.25,4,7,mid_epoch,3.5,3,mqar_case,512x64,valid/mqar_case/accuracy-512x64,0.98978125
